PropertySize,LandValue,LivingArea,Age,Rooms,Bedrooms,Bathrooms,Fireplaces,HeatingSystem,HeatingFuel,SewerSystem,HasCentralAC,AtWaterfront,NeighborhoodHigherEdPct,Price
1052,48692,162,123,6,4,1.0,0,air,gas,public,No,No,57,92308
607,14231,137,22,5,3,1.5,1,electric,electricity,public,Yes,No,63,111538
647,12077,92,19,4,2,2.0,0,electric,electricity,public,No,No,54,67692
3521,43308,171,12,6,4,1.5,1,air,gas,public,Yes,No,61,216923
607,12077,85,18,3,2,1.5,0,water/steam,gas,public,No,No,52,76923
1700,22615,178,32,5,3,1.5,1,air,gas,public,No,No,63,157692
283,12923,137,21,8,3,1.5,1,air,gas,public,No,No,64,125185
1862,3400,83,17,3,2,1.0,0,water/steam,oil,public,No,No,20,63077
2509,75385,207,1,10,3,2.5,0,air,gas,public,Yes,No,57,213954
4047,18846,100,15,4,3,2.0,0,electric,electricity,septic,No,No,35,86154
364,13538,120,25,5,2,1.5,1,air,gas,public,Yes,No,63,119231
567,462,212,105,10,4,1.5,0,water/steam,oil,public,No,No,33,142308
2104,3462,125,12,7,2,2.0,1,air,gas,septic,No,No,44,115385
283,18846,149,12,4,2,1.5,0,air,gas,public,Yes,No,64,106923
4047,33769,240,9,12,4,2.5,1,air,oil,septic,No,No,64,180769
1174,3000,84,83,7,4,1.0,0,air,gas,public,No,No,44,69231
931,6231,125,135,5,3,1.0,0,water/steam,gas,public,No,No,52,103846
769,10231,100,19,7,3,1.5,0,electric,electricity,public,No,No,64,69154
1740,40154,194,10,9,4,2.5,1,air,gas,public,Yes,No,82,163462
1497,1923,94,18,7,3,1.0,0,electric,electricity,septic,No,No,36,119231
1174,15615,114,19,9,4,1.5,0,electric,electricity,public,No,No,64,92308
647,12077,92,19,4,2,2.0,0,air,gas,public,No,No,52,50000
1902,18231,144,53,8,3,1.5,0,water/steam,oil,septic,No,No,52,160000
1538,11231,120,51,9,4,2.0,1,air,oil,septic,Yes,No,60,140385
3480,3308,187,16,5,3,1.5,0,water/steam,oil,septic,No,No,36,156923
1133,16923,106,16,6,2,2.0,1,air,gas,public,Yes,No,64,96154
3035,1308,118,3,7,3,1.5,0,air,gas,septic,No,No,38,128385
3804,27846,238,37,11,4,2.5,1,water/steam,gas,public,No,No,61,219231
1093,6846,139,54,7,3,2.5,0,water/steam,gas,septic,No,No,71,106154
647,11615,110,18,3,2,1.5,0,electric,electricity,public,No,No,40,122308
14892,20923,189,14,9,3,2.0,1,water/steam,oil,septic,No,No,36,267692
1133,3692,145,12,8,3,1.0,1,air,gas,public,Yes,No,47,99923
1983,22000,174,30,6,3,2.5,1,water/steam,gas,public,No,No,64,154923
850,22154,110,17,4,2,1.5,1,air,gas,public,Yes,No,64,153769
728,43615,155,140,8,3,1.0,0,air,gas,public,No,No,62,203846
1619,231,145,11,7,3,1.5,0,air,gas,septic,No,No,36,127692
1255,19308,190,33,9,4,1.5,0,air,gas,public,No,No,64,205385
809,5538,96,14,5,2,1.5,0,water/steam,gas,public,No,No,54,76923
3116,2308,74,50,7,2,1.0,1,water/steam,oil,septic,No,No,20,173077
1133,17231,84,102,7,2,1.0,1,water/steam,oil,septic,No,No,60,56154
2104,15615,222,53,6,3,1.0,0,air,oil,septic,No,No,64,81923
2145,83769,311,1,11,4,3.5,1,air,gas,public,No,No,40,241538
162,12692,150,13,7,4,2.0,0,air,gas,public,Yes,No,54,138462
3966,15077,123,35,3,2,1.0,0,electric,electricity,septic,No,No,52,103846
1902,20923,164,15,5,3,2.0,1,electric,electricity,septic,No,No,52,134615
607,11615,110,18,3,2,1.5,0,electric,electricity,public,No,No,54,94231
243,12615,137,19,4,3,1.5,0,electric,electricity,public,Yes,No,64,92308
2064,26615,153,33,8,3,1.5,0,air,gas,public,Yes,No,64,119154
1376,14615,118,50,5,3,1.5,1,water/steam,gas,septic,No,No,52,134538
2226,38692,205,33,9,4,2.5,1,air,gas,public,Yes,No,64,246154
1416,51538,219,1,11,4,2.5,0,air,gas,public,Yes,No,57,208688
607,7692,178,16,10,4,2.5,1,electric,electricity,septic,Yes,No,27,152308
647,11615,110,21,3,2,1.5,0,electric,electricity,public,No,No,40,127615
2388,13308,175,0,9,4,2.5,1,air,gas,septic,No,No,52,130692
12140,34231,281,178,12,4,2.5,0,water/steam,oil,septic,No,No,41,103846
2226,51769,197,20,10,3,2.5,1,air,gas,public,Yes,No,64,273077
2428,54615,251,20,10,4,2.5,3,air,gas,public,Yes,No,64,242308
1781,25538,172,18,7,3,2.5,1,water/steam,gas,public,No,No,64,153000
1942,47692,199,27,10,4,2.5,1,air,gas,public,Yes,No,64,206154
2185,14538,149,11,4,3,1.5,0,air,gas,public,Yes,No,57,131538
1983,49538,118,30,4,3,1.0,0,air,gas,public,No,No,57,92308
1052,32231,99,49,8,3,1.0,0,air,gas,septic,Yes,No,64,115385
809,5923,111,55,4,2,1.0,0,air,oil,septic,No,No,63,73077
1416,20769,177,20,10,4,2.0,1,electric,electricity,public,No,No,54,165000
647,11615,100,25,5,2,1.0,1,air,gas,public,Yes,No,54,100000
647,12077,85,17,5,2,1.5,1,electric,electricity,public,No,No,52,80769
202,24615,172,8,9,3,2.5,0,electric,electricity,public,Yes,No,62,192308
1335,20769,126,18,8,3,1.5,1,electric,electricity,public,No,No,40,171538
931,56769,308,5,12,4,2.5,1,air,gas,public,Yes,No,57,250000
1457,24769,106,103,8,3,1.0,0,air,oil,septic,No,No,64,92308
1255,62000,178,5,6,3,2.5,1,air,gas,public,Yes,No,62,323846
1781,83769,305,1,10,4,2.5,1,air,gas,public,No,No,40,243927
769,1615,111,123,5,3,1.0,0,water/steam,gas,public,No,No,44,50554
1578,10000,196,11,10,3,2.5,1,water/steam,gas,septic,No,No,64,226231
405,4615,81,25,5,3,1.0,1,electric,electricity,public,No,No,40,230000
2226,14846,212,12,7,4,2.5,1,air,gas,public,No,No,62,256923
3602,23769,173,27,8,4,2.5,1,air,gas,public,Yes,No,64,173077
607,46923,241,1,10,3,3.0,0,air,gas,public,Yes,No,57,258462
607,12000,84,17,5,2,1.0,0,electric,electricity,public,No,No,54,100000
1902,47154,186,22,7,3,2.5,1,air,gas,public,Yes,No,63,208462
243,1231,137,16,5,2,2.5,1,air,gas,public,No,No,52,49615
1335,20769,140,17,8,3,1.5,1,air,gas,public,No,No,52,103846
3723,15846,214,11,7,3,1.5,1,electric,electricity,septic,No,No,51,144231
850,22154,110,15,3,2,1.5,1,air,gas,public,Yes,No,64,92308
2469,32077,167,11,6,3,2.5,1,air,gas,public,No,No,61,232308
2307,26846,118,9,6,2,1.5,0,air,gas,public,No,No,64,186923
526,35769,255,6,11,4,2.5,1,air,gas,public,Yes,No,64,320769
1416,83769,211,1,6,3,2.5,1,air,gas,public,No,No,40,197192
1983,48308,194,19,8,4,2.5,1,air,gas,public,Yes,No,64,215308
4937,149769,292,2,12,5,3.5,0,air,gas,septic,Yes,No,57,584615
2226,11462,92,33,7,3,1.0,1,air,oil,septic,No,No,64,104615
2752,10769,107,31,8,4,1.0,1,air,gas,septic,No,No,22,92308
688,12154,85,19,6,2,1.5,0,electric,electricity,public,No,No,52,77385
1942,21692,247,32,11,4,2.5,1,water/steam,gas,public,No,No,64,147615
850,24615,225,1,9,3,2.5,0,air,gas,public,No,No,40,203077
1376,3846,170,15,6,3,2.5,1,air,gas,septic,Yes,No,38,150000
2711,55692,213,8,9,4,3.0,1,air,gas,public,Yes,No,64,184615
2185,26692,196,39,9,4,1.5,1,air,gas,public,No,No,61,176923
4047,16692,177,25,8,3,2.0,0,electric,electricity,septic,No,No,54,203846
647,11615,110,19,7,3,2.0,0,air,gas,public,No,No,51,120000
2914,3538,114,43,5,3,1.0,1,electric,electricity,septic,No,No,44,86538
2266,26769,155,38,8,3,1.5,1,air,gas,public,No,No,63,136581
243,35846,214,15,10,3,3.0,1,air,gas,public,Yes,No,57,288385
1497,28846,157,26,8,3,1.5,1,air,gas,public,Yes,No,64,117308
1214,40769,155,32,7,3,1.0,0,air,gas,public,No,No,62,134615
607,11615,156,17,7,2,1.5,0,electric,electricity,public,No,No,54,94615
2266,83769,198,0,9,4,2.5,1,air,gas,public,No,No,40,227635
567,11615,149,26,7,2,1.5,1,air,gas,public,Yes,No,40,133077
728,16462,106,16,7,2,1.0,1,electric,electricity,public,Yes,No,64,92308
486,14000,114,19,6,2,2.0,1,water/steam,gas,public,Yes,No,63,119231
243,27615,160,26,8,3,2.0,1,air,gas,public,Yes,No,64,158385
1902,19615,171,6,9,3,2.5,1,air,gas,public,No,No,64,157692
3602,14846,156,14,5,4,1.5,0,electric,electricity,septic,No,No,38,92308
445,14538,156,15,6,3,2.5,1,air,gas,septic,No,No,51,113077
1902,15385,111,20,7,3,1.5,0,electric,electricity,septic,Yes,No,61,163846
1740,30000,216,7,7,4,2.5,1,air,gas,public,Yes,No,64,273077
1781,10000,268,0,12,4,3.0,1,air,gas,public,No,No,63,269154
1821,19231,109,16,5,3,1.0,1,air,gas,septic,No,No,40,142308
8094,38308,262,0,12,4,2.5,1,air,gas,none,Yes,No,71,195192
2388,118308,281,0,9,4,2.5,1,air,gas,public,Yes,No,64,278738
1578,65692,259,0,8,4,2.5,1,air,gas,public,No,No,57,285512
769,79231,87,123,7,2,1.0,0,water/steam,gas,public,No,No,57,115385
1295,26923,221,28,10,4,1.5,1,electric,electricity,public,Yes,No,64,219231
809,53846,119,50,10,5,2.0,0,water/steam,gas,public,No,No,62,183077
243,12615,128,20,7,2,1.5,0,air,gas,public,Yes,No,64,89923
2307,2000,191,28,5,3,1.0,0,electric,electricity,septic,No,No,36,119231
1659,14385,181,15,7,3,1.5,1,air,gas,septic,No,No,35,150000
1457,8077,123,22,4,3,1.0,0,electric,electricity,public,No,No,64,107615
2266,23692,335,34,12,6,3.5,1,water/steam,gas,public,No,No,64,230769
1214,18846,178,32,6,4,1.5,1,air,gas,public,Yes,No,64,179923
2752,19923,109,54,8,3,2.0,0,air,oil,public,No,No,47,134615
1133,17846,104,57,4,3,1.5,0,air,oil,septic,No,No,61,141154
850,22154,110,16,6,2,1.5,1,air,gas,public,Yes,No,63,123000
1862,68923,237,0,7,3,2.5,1,air,gas,public,Yes,No,57,190938
607,12077,85,19,7,2,1.5,0,electric,electricity,public,No,No,52,64615
3035,63462,263,12,10,4,2.5,1,air,gas,public,Yes,No,64,261538
1740,19231,143,16,6,3,1.5,0,air,gas,septic,No,No,40,176846
283,37077,162,15,5,3,2.5,1,air,gas,public,Yes,No,62,238269
12140,3462,109,26,5,4,1.5,0,air,oil,septic,No,No,39,111538
3723,22308,126,53,9,4,1.0,0,air,oil,septic,Yes,No,57,130769
4047,38385,172,2,4,2,2.0,2,air,gas,septic,Yes,No,71,199923
688,15692,136,9,8,3,2.0,1,air,gas,public,Yes,No,61,195769
2104,21615,170,47,8,4,2.0,1,air,oil,septic,No,No,60,146154
1862,46538,230,4,10,4,2.5,1,air,gas,public,Yes,No,61,259231
3278,19231,214,25,9,5,2.5,1,electric,electricity,septic,No,No,52,138385
1012,6385,135,11,8,3,1.0,0,air,gas,public,Yes,No,54,137692
1578,65692,186,3,6,3,2.5,1,air,gas,public,Yes,No,57,311615
1740,3769,89,39,6,3,1.0,0,air,gas,septic,Yes,No,38,97692
2185,23231,292,29,10,5,3.5,1,water/steam,gas,public,No,No,64,154615
2023,56538,172,43,7,3,1.5,1,air,gas,public,No,No,57,146077
3237,13923,229,134,12,5,2.5,2,air,gas,septic,No,No,60,250000
2104,10769,155,34,8,3,1.5,0,water/steam,oil,septic,No,No,63,115385
1659,1000,85,35,7,3,1.0,0,water/steam,oil,septic,No,No,50,103846
1214,83769,249,1,11,4,2.5,0,air,gas,public,No,No,40,210381
1862,11692,188,1,6,4,2.5,1,air,gas,septic,No,No,52,138385
445,11538,78,1,3,2,1.0,0,air,gas,public,Yes,No,36,100692
364,39538,208,1,8,3,3.0,0,air,gas,public,Yes,No,57,247905
809,80769,187,104,11,6,1.0,0,water/steam,gas,public,No,No,57,230769
1659,23462,179,39,9,4,1.5,0,air,gas,public,No,No,64,169231
202,12308,137,19,6,3,2.5,0,air,gas,public,Yes,No,64,126923
2509,4154,83,12,5,3,2.0,0,air,gas,septic,No,No,44,105000
1416,38462,178,18,10,4,2.5,1,air,gas,public,Yes,No,62,200000
526,231,121,9,7,3,1.5,0,air,oil,septic,No,No,41,119231
3521,69846,283,25,11,4,1.5,1,water/steam,gas,septic,No,No,57,230769
2347,13385,254,4,9,3,2.5,1,air,gas,public,Yes,No,63,263077
2954,12615,136,85,6,3,1.0,0,air,oil,septic,No,No,40,121538
526,11538,78,0,3,2,1.0,0,air,gas,public,No,No,51,65346
1295,6154,145,36,6,3,1.0,1,air,gas,septic,Yes,No,54,106538
2064,57538,250,1,10,4,3.0,1,air,gas,public,Yes,No,62,241715
1174,27077,117,15,7,2,1.5,0,air,gas,public,Yes,No,64,107615
1740,35231,225,41,7,4,2.0,2,water/steam,gas,public,No,No,61,191538
607,2000,93,67,6,3,1.0,0,water/steam,oil,public,No,No,20,65822
364,15769,118,18,4,3,1.5,1,electric,electricity,public,Yes,No,64,119231
2266,29154,274,0,12,4,2.5,1,air,gas,public,No,No,64,280769
567,40154,109,16,3,2,2.0,0,air,gas,public,No,No,57,115385
1862,12077,168,28,7,3,1.5,1,electric,electricity,septic,No,No,62,140769
971,5538,114,115,5,3,1.0,1,air,gas,public,No,No,64,113077
971,58000,188,4,7,3,2.5,1,air,gas,public,Yes,No,62,307692
12788,18538,94,15,7,2,1.0,0,electric,electricity,septic,No,No,52,131538
283,14538,156,15,9,4,1.5,1,electric,electricity,septic,No,No,51,90000
3116,29769,255,15,8,4,3.5,1,air,gas,public,Yes,No,63,230692
1862,14462,156,19,7,3,2.0,1,air,gas,septic,No,No,35,155292
4047,13077,155,40,8,3,2.0,1,water/steam,oil,septic,No,No,62,126923
2833,22154,112,17,4,2,1.0,1,air,gas,septic,No,No,60,121923
607,11615,129,17,5,2,1.5,0,electric,electricity,public,No,No,54,95000
243,12615,137,19,5,3,1.5,1,air,gas,public,Yes,No,63,96538
890,41923,72,40,7,2,1.0,0,water/steam,gas,public,No,No,57,108429
2226,30385,188,2,9,4,2.5,1,air,gas,public,No,No,63,215308
607,11615,129,17,8,3,1.5,0,electric,electricity,public,No,No,54,111538
243,12615,135,27,5,3,1.5,1,air,gas,public,Yes,No,64,130692
1335,17308,195,32,11,5,1.5,1,water/steam,gas,public,No,No,63,126923
688,1462,131,139,9,6,1.5,0,water/steam,gas,public,No,No,38,73077
647,11615,110,21,4,3,2.0,0,electric,electricity,public,No,No,40,123077
2509,44462,269,9,10,4,2.5,1,air,gas,public,Yes,No,64,316923
931,192308,156,52,4,2,1.5,1,water/steam,gas,public,No,No,57,262308
607,12077,85,16,4,2,1.5,0,air,gas,public,No,No,52,82692
647,12077,85,18,3,2,1.5,1,electric,electricity,public,No,No,54,105385
2104,4231,116,16,6,3,2.0,0,electric,electricity,septic,No,No,27,126923
1700,1308,161,130,5,3,2.0,0,water/steam,oil,public,No,No,33,70923
324,28692,211,34,10,5,2.5,1,water/steam,gas,public,No,No,64,230769
931,6385,146,25,5,4,1.5,1,air,gas,public,Yes,No,52,107692
2185,23231,262,38,10,5,2.5,1,water/steam,gas,public,No,No,61,138462
1255,110154,256,32,10,4,2.5,1,air,gas,public,Yes,No,62,288462
607,161538,135,103,7,2,1.5,0,water/steam,gas,public,No,No,57,184615
850,5615,113,129,7,3,1.0,0,water/steam,gas,public,No,No,54,86154
324,141000,207,46,9,4,2.0,1,air,gas,septic,No,No,62,209846
243,1231,137,16,4,2,2.5,1,air,gas,public,Yes,No,40,100000
2833,3538,118,84,6,4,1.0,1,water/steam,oil,septic,No,No,36,123000
1133,62154,149,29,6,4,1.5,0,air,gas,public,Yes,No,57,130769
3076,13923,94,4,5,3,1.5,0,air,gas,septic,No,No,62,150000
1376,14615,136,51,5,4,1.0,0,air,oil,septic,No,No,52,141427
567,15077,125,16,6,2,1.5,1,electric,electricity,public,Yes,No,64,106923
2590,12615,241,37,9,3,1.5,1,water/steam,oil,septic,No,No,64,128846
1457,20769,140,19,6,3,2.0,1,air,gas,public,No,No,52,102692
647,11615,110,18,8,3,2.0,0,electric,electricity,public,No,No,40,128462
2226,23462,155,36,8,3,2.0,1,water/steam,gas,public,No,No,64,121538
647,74615,124,35,8,3,1.0,0,air,gas,public,Yes,No,62,140000
1497,20769,144,18,5,3,2.0,1,air,gas,public,Yes,No,52,131538
1578,65692,186,4,6,3,2.5,1,air,gas,public,Yes,No,62,317308
1335,42154,127,34,6,2,1.0,0,air,gas,public,No,No,57,73077
6637,19769,169,52,7,4,2.5,2,water/steam,gas,septic,No,No,52,176846
486,14000,133,31,8,3,1.5,0,air,gas,public,Yes,No,63,93846
162,19692,113,19,4,2,2.0,1,air,gas,public,Yes,No,62,156154
2023,45385,225,19,8,4,2.5,1,air,gas,public,Yes,No,62,288462
5018,19077,113,51,4,2,1.0,2,water/steam,oil,septic,No,No,71,100000
5423,34154,230,0,10,4,2.5,1,air,gas,septic,No,No,71,215038
1619,23077,162,35,9,4,1.5,1,air,gas,public,Yes,No,64,124615
1416,6077,171,27,5,3,2.0,0,water/steam,gas,septic,Yes,No,54,129231
2104,22769,215,38,9,5,2.5,1,water/steam,gas,public,No,No,64,166077
607,12077,85,18,5,2,1.5,0,electric,electricity,public,No,No,54,116923
1012,38462,121,35,4,3,2.0,0,air,gas,public,No,No,62,131642
2226,5769,197,11,10,4,3.0,0,water/steam,gas,septic,No,No,38,176154
1902,12615,214,14,9,3,2.5,1,electric,electricity,septic,No,No,40,176923
607,11615,129,18,6,2,1.5,0,electric,electricity,public,No,No,40,114538
